competitor,source_id,name,address,suburb,region,venue_type,latitude,longitude,website,source_url,scraped_at,phone,email
Villbrygg,,Colonialen Fetevare,"Strandgaten 18, 5013 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.3943858,5.321353,https://colonialen.no/fetevaren,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Colonialen Kranen,"Solheimsgaten 9B, 5058 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.378181,5.333731,https://www.colonialen.no/kranen,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Colonialen Litteraturhuset,"Østre Skostredet 5-7, 5017 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.393552,5.328585,https://www.colonialen.no/litteraturhuset,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Dr Wiesener,"Nye Sandviksveien 17A, 5003 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.4004728,5.3230462,http://www.drwiesener.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Hoggorm,"Nygårdsgaten 29, 5015 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.3879845,5.3277795,http://hoggormpizza.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Landmark,"Rasmus Meyers allé 5, 5015 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.389757,5.326543,http://www.kunsthall.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Lille Tempo,"Vinjes gate 5, 5007 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.388533,5.317172,https://restaurantguru.com/Lille-Tempo-Bergen,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Lysverket,"Rasmus Meyers allé 9, 5015 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.3892925,5.3289395,https://www.lysverket.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Møllendal Fetevare,"Møllendalsveien 68D, 5009 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.380448,5.352505,http://www.mollendalfetevare.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Restaurant Aster,"Damsgårdsveien 55, 5058 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.379558,5.325446,https://restaurantaster.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
